tarjeta;es;Fecha;Hora;Tipo
PF0215;S;14/01/2020;1629;;
PF0689;S;14/01/2020;1632;;
PF7062;S;14/01/2020;1633;;
PF3050;S;14/01/2020;1633;;
PF0216;S;14/01/2020;1647;;
PF0501;S;14/01/2020;1649;;
PF0503;S;14/01/2020;1833;;
PF0210;S;14/01/2020;1903;;
PF0211;S;14/01/2020;1903;;
PF0502;E;15/01/2020;0603;;
PF0279;E;15/01/2020;0633;;
PF2193;E;15/01/2020;0709;;
PF3375;E;15/01/2020;0717;;
PF4992;E;15/01/2020;0717;;
PF0221;E;15/01/2020;0717;;
PF3830;E;15/01/2020;0721;;
PF5858;E;15/01/2020;0721;;
PF0281;E;15/01/2020;0724;;
PF3830;A;15/01/2020;1310;;
PF0216;A;15/01/2020;1310;;
PF2836;A;15/01/2020;1310;;
PF0274;A;15/01/2020;1311;;
PF0207;A;15/01/2020;1311;;
PF0229;A;15/01/2020;1312;;
PF4992;A;15/01/2020;1312;;
PF5857;A;15/01/2020;1316;;
PF3187;A;15/01/2020;1319;;
PF0226;A;15/01/2020;1320;;
PF6149;A;15/01/2020;1320;;
PF5858;A;15/01/2020;1320;;
PF1712;A;15/01/2020;1320;;
PF0213;A;15/01/2020;1320;;
PF0220;A;15/01/2020;1326;;
PF0218;A;15/01/2020;1326;;
PF2193;A;15/01/2020;1331;;
PF0276;A;15/01/2020;1334;;
PF7062;A;15/01/2020;1338;;
PF0207;A;15/01/2020;1339;;
PF0229;A;15/01/2020;1339;;
PF3021;A;15/01/2020;1344;;
PF0218;A;15/01/2020;1351;;
PF0220;A;15/01/2020;1351;;
PF5857;A;15/01/2020;1353;;
PF1712;A;15/01/2020;1355;;
PF5858;A;15/01/2020;1355;;
PF6149;A;15/01/2020;1355;;
PF0213;A;15/01/2020;1355;;
PF0226;A;15/01/2020;1355;;
PF7062;A;15/01/2020;1401;;
PF3935;A;15/01/2020;1404;;
PF5858;A;15/01/2020;1411;;
PF0221;S;15/01/2020;1603;;
PF1712;S;15/01/2020;1604;;
PF0218;S;15/01/2020;1604;;
PF0213;S;15/01/2020;1604;;
PF3830;S;15/01/2020;1604;;
PF3375;S;15/01/2020;1605;;
PF2194;S;15/01/2020;1605;;
PF0274;S;15/01/2020;1605;;
PF6149;S;15/01/2020;1606;;
PF3187;S;15/01/2020;1606;;
PF4992;S;15/01/2020;1606;;
PF7062;S;15/01/2020;1607;;
PF2836;S;15/01/2020;1607;;
PF0689;S;15/01/2020;1607;;
PF0216;S;15/01/2020;1608;;
PF3877;S;15/01/2020;1608;;
PF3935;S;15/01/2020;1608;;
PF0220;S;15/01/2020;1609;;
PF0207;S;15/01/2020;1611;;
PF0207;S;15/01/2020;1611;;
PF0276;S;15/01/2020;1611;;
PF5859;S;15/01/2020;1612;;
PF0281;S;15/01/2020;1612;;
PF0229;S;15/01/2020;1612;;
PF5857;S;15/01/2020;1613;;
PF4217;S;15/01/2020;1614;;
PF6097;S;15/01/2020;1614;;
PF0503;S;17/01/2020;1838;;
PF0274;E;18/01/2020;0658;;
PF0274;P;18/01/2020;1156;;
PF1712;S;20/01/2020;1845;;
PF0210;S;20/01/2020;2023;;
PF0467;S;09/01/2020;1503;;
PF0474;S;09/01/2020;1528;;
PF1844;S;09/01/2020;1600;;
PF1954;S;09/01/2020;1600;;
PF3944;S;09/01/2020;1600;;
PF0522;S;09/01/2020;1600;;
PF0488;S;09/01/2020;1600;;
PF5363;S;09/01/2020;1600;;
PF1757;S;09/01/2020;1600;;
PF0490;S;09/01/2020;1601;;
PF1950;S;09/01/2020;1601;;
PF1021;S;09/01/2020;1601;;
PF1944;S;09/01/2020;1601;;
PF0500;S;09/01/2020;1601;;
PF0491;S;09/01/2020;1601;;
PF1945;S;09/01/2020;1601;;
PF4878;S;09/01/2020;1602;;
PF1946;S;09/01/2020;1602;;
PF1947;S;09/01/2020;1602;;
PF1951;S;09/01/2020;1602;;
PF0477;S;09/01/2020;1603;;
PF1756;S;09/01/2020;1603;;
PF0471;S;09/01/2020;1603;;
PF2883;S;09/01/2020;1603;;
PF1952;S;09/01/2020;1603;;
PF1755;S;09/01/2020;1603;;
PF2884;S;09/01/2020;1603;;
PF0466;S;09/01/2020;1603;;
PF3297;S;09/01/2020;1603;;
PF0493;S;09/01/2020;1603;;
PF0492;S;09/01/2020;1603;;
PF0494;S;09/01/2020;1603;;
PF1856;S;09/01/2020;1604;;
PF0475;S;09/01/2020;1604;;
PF0523;S;09/01/2020;1604;;
PF1846;S;09/01/2020;1604;;
PF0469;S;09/01/2020;1607;;
PF0522;E;10/01/2020;0652;;
PF0500;E;10/01/2020;0654;;
PF0536;P;10/02/2020;1150;;
PF1947;E;10/01/2020;0719;;
PF1558;E;10/01/2020;0720;;
PF0494;E;10/01/2020;0720;;
PF3297;E;10/01/2020;0721;;
PF4878;E;10/01/2020;0722;;
PF1844;E;10/01/2020;0722;;
PF0491;E;10/01/2020;0722;;
PF1945;E;10/01/2020;0723;;
PF2883;E;10/01/2020;0724;;
PF0490;E;10/01/2020;0727;;
PF0469;E;10/01/2020;0728;;
PF0475;E;10/01/2020;0728;;
PF0467;E;10/01/2020;0728;;
PF1946;E;10/01/2020;0728;;
PF0492;E;10/01/2020;0728;;
PF0466;E;10/01/2020;0728;;
PF1846;E;10/01/2020;0729;;
PF3944;E;10/01/2020;0730;;
PF0488;E;10/01/2020;0730;;
PF0473;E;10/01/2020;0730;;
PF0523;E;10/01/2020;0730;;
PF1755;E;10/01/2020;0730;;
PF1757;E;10/01/2020;0730;;
PF2884;E;10/01/2020;0730;;
PF1955;E;10/01/2020;0731;;
PF1756;E;10/01/2020;0731;;
PF1944;E;10/01/2020;0731;;
PF1954;E;10/01/2020;0731;;
PF1021;E;10/01/2020;0731;;
PF0474;E;10/01/2020;0731;;
PF0477;E;10/01/2020;0731;;
PF5364;E;10/01/2020;0732;;
PF1856;E;10/01/2020;0732;;
PF1951;E;10/01/2020;0732;;
PF1950;E;10/01/2020;0732;;
PF1952;E;10/01/2020;0732;;
PF0493;E;10/01/2020;0733;;
PF0471;P;10/01/2020;0953;;
PF5363;P;10/01/2020;1133;;
PF1954;P;10/01/2020;1150;;
PF1955;P;10/01/2020;1150;;
PF0522;P;10/01/2020;1150;;
PF1021;A;10/01/2020;1214;;
PF3944;A;10/01/2020;1214;;
PF0474;A;10/01/2020;1216;;
PF0490;A;10/01/2020;1220;;
PF1950;A;10/01/2020;1220;;
PF4878;A;10/01/2020;1220;;
PF1944;A;10/01/2020;1220;;
PF1951;A;10/01/2020;1220;;
PF0469;A;10/01/2020;1220;;
PF1558;A;10/01/2020;1221;;
PF0477;A;10/01/2020;1221;;
PF1947;A;10/01/2020;1221;;
PF1856;A;10/01/2020;1221;;
PF1945;A;10/01/2020;1221;;
PF1946;A;10/01/2020;1227;;
PF1954;A;10/01/2020;1228;;
PF0522;A;10/01/2020;1228;;
PF1955;A;10/01/2020;1228;;
PF5364;A;10/01/2020;1231;;
PF0500;A;10/01/2020;1231;;
PF1844;A;10/01/2020;1231;;
PF0491;A;10/01/2020;1231;;
PF1846;A;10/01/2020;1231;;
PF1756;A;10/01/2020;1233;;
PF0494;A;10/01/2020;1234;;
PF0467;A;10/01/2020;1234;;
PF1757;A;10/01/2020;1234;;
PF1755;A;10/01/2020;1234;;
PF0466;A;10/01/2020;1235;;
PF5363;A;10/01/2020;1235;;
PF0475;A;10/01/2020;1235;;
PF0492;A;10/01/2020;1235;;
PF0488;A;10/01/2020;1235;;
PF1558;A;10/01/2020;1248;;
PF2883;A;10/01/2020;1250;;
PF0523;A;10/01/2020;1250;;
PF1021;A;10/01/2020;1250;;
PF0473;A;10/01/2020;1250;;
PF2884;A;10/01/2020;1250;;
PF0493;A;10/01/2020;1250;;
PF3297;A;10/01/2020;1250;;
PF0471;A;10/01/2020;1250;;
PF1947;A;10/01/2020;1252;;
PF0490;A;10/01/2020;1252;;
PF1951;A;10/01/2020;1255;;
PF1950;A;10/01/2020;1255;;
PF1945;A;10/01/2020;1255;;
PF4878;A;10/01/2020;1257;;
PF1946;A;10/01/2020;1258;;
PF0469;A;10/01/2020;1258;;
PF1944;A;10/01/2020;1300;;
PF1856;A;10/01/2020;1300;;
PF0477;A;10/01/2020;1301;;
PF0500;A;10/01/2020;1304;;
PF1844;A;10/01/2020;1304;;
PF0491;A;10/01/2020;1305;;
PF1756;A;10/01/2020;1305;;
PF0488;A;10/01/2020;1305;;
PF5364;A;10/01/2020;1305;;
PF5363;A;10/01/2020;1311;;
PF0467;A;10/01/2020;1311;;
PF1846;A;10/01/2020;1314;;
PF0475;A;10/01/2020;1316;;
PF0492;A;10/01/2020;1316;;
PF1757;A;10/01/2020;1316;;
PF3297;A;10/01/2020;1317;;
PF0471;A;10/01/2020;1319;;
PF1755;A;10/01/2020;1319;;
PF0493;A;10/01/2020;1319;;
PF0494;A;10/01/2020;1320;;
PF0473;A;10/01/2020;1320;;
PF2883;A;10/01/2020;1322;;
PF0466;A;10/01/2020;1322;;
PF2884;A;10/01/2020;1322;;
PF3944;S;13/01/2020;1800;;
PF0477;S;13/01/2020;1800;;
PF1945;S;13/01/2020;1800;;
PF0469;S;13/01/2020;1800;;
PF1948;E;14/01/2020;0646;;
PF1844;E;14/01/2020;0714;;
PF0522;E;14/01/2020;0717;;
PF1947;E;14/01/2020;0717;;
PF1945;E;14/01/2020;0718;;
PF1846;E;14/01/2020;0719;;
PF0475;E;14/01/2020;0722;;
PF0490;E;14/01/2020;0722;;
PF1558;E;14/01/2020;0723;;
PF0491;E;14/01/2020;0723;;
PF0467;E;14/01/2020;0723;;
PF0500;E;14/01/2020;0723;;
PF0494;E;14/01/2020;0724;;
PF0466;E;14/01/2020;0725;;
PF0523;E;14/01/2020;0725;;
PF1950;E;14/01/2020;0725;;
PF0474;E;14/01/2020;0726;;
PF4878;E;14/01/2020;0727;;
PF0469;E;14/01/2020;0727;;
PF1952;E;14/01/2020;0727;;
PF0493;E;14/01/2020;0727;;
PF1951;E;14/01/2020;0727;;
PF0473;E;14/01/2020;0727;;
PF2883;E;14/01/2020;0728;;
PF2884;E;14/01/2020;0728;;
PF1021;E;14/01/2020;0729;;
PF1756;E;14/01/2020;0729;;
PF0492;E;14/01/2020;0729;;
PF1955;E;14/01/2020;0730;;
PF1757;E;14/01/2020;0730;;
PF1755;E;14/01/2020;0730;;
PF0477;E;14/01/2020;0730;;
PF5364;E;14/01/2020;0730;;
PF1856;E;14/01/2020;0730;;
PF0488;E;14/01/2020;0731;;
PF1944;E;14/01/2020;0731;;
PF1954;E;14/01/2020;0731;;
PF3944;E;14/01/2020;0732;;
PF0471;E;14/01/2020;0732;;
PF1946;E;14/01/2020;0751;;
PF0522;P;14/01/2020;1150;;
PF1955;P;14/01/2020;1150;;
PF1954;P;14/01/2020;1151;;
PF1021;A;14/01/2020;1216;;
PF4878;A;14/01/2020;1217;;
PF1558;A;14/01/2020;1219;;
PF0474;A;14/01/2020;1219;;
PF0490;A;14/01/2020;1220;;
PF1946;A;14/01/2020;1220;;
PF3944;A;14/01/2020;1221;;
PF0469;A;14/01/2020;1221;;
PF1944;A;14/01/2020;1221;;
PF1945;A;14/01/2020;1221;;
PF1952;A;14/01/2020;1221;;
PF1947;A;14/01/2020;1222;;
PF1951;A;14/01/2020;1222;;
PF1856;A;14/01/2020;1222;;
PF0477;A;14/01/2020;1225;;
PF1954;A;14/01/2020;1227;;
PF0522;A;14/01/2020;1229;;
PF0522;S;14/01/2020;1600;;
PF1954;S;14/01/2020;1600;;
PF1948;S;14/01/2020;1600;;
PF1021;S;14/01/2020;1600;;
PF0474;S;14/01/2020;1601;;
PF0491;S;14/01/2020;1601;;
PF1558;S;14/01/2020;1601;;
PF1944;S;14/01/2020;1601;;
PF1757;S;14/01/2020;1602;;
PF0488;S;14/01/2020;1602;;
PF1950;S;14/01/2020;1602;;
PF0500;S;14/01/2020;1602;;
PF5364;S;14/01/2020;1602;;
PF0492;S;14/01/2020;1602;;
PF1755;S;14/01/2020;1602;;
PF2884;S;14/01/2020;1602;;
PF0475;S;14/01/2020;1602;;
PF0473;S;14/01/2020;1602;;
PF5363;S;14/01/2020;1602;;
PF0493;S;14/01/2020;1602;;
PF0467;S;14/01/2020;1602;;
PF1844;S;14/01/2020;1602;;
PF0466;S;14/01/2020;1603;;
PF0471;S;14/01/2020;1603;;
PF2883;S;14/01/2020;1603;;
PF1947;S;14/01/2020;1603;;
PF0490;S;14/01/2020;1603;;
PF1946;S;14/01/2020;1603;;
PF4878;S;14/01/2020;1603;;
PF0523;S;14/01/2020;1603;;
PF1951;S;14/01/2020;1603;;
PF1856;S;14/01/2020;1603;;
PF1846;S;14/01/2020;1617;;
PF3944;S;14/01/2020;1800;;
PF0477;S;14/01/2020;1800;;
PF0469;S;14/01/2020;1800;;
PF1945;S;14/01/2020;1800;;
PF1952;S;14/01/2020;1802;;
PF1948;E;15/01/2020;0643;;
PF1558;E;15/01/2020;0705;;
PF1844;E;15/01/2020;0713;;
PF1945;E;15/01/2020;0714;;
PF1947;E;15/01/2020;0715;;
PF0522;E;15/01/2020;0717;;
PF0475;E;15/01/2020;0719;;
PF0523;E;15/01/2020;0720;;
PF0492;E;15/01/2020;0722;;
PF0494;E;15/01/2020;0722;;
PF1950;E;15/01/2020;0724;;
PF1952;E;15/01/2020;0726;;
PF0490;E;15/01/2020;0726;;
PF5364;E;15/01/2020;0726;;
PF0500;E;15/01/2020;0726;;
PF1944;E;15/01/2020;0727;;
PF0474;E;15/01/2020;0727;;
PF0467;E;15/01/2020;0727;;
PF0491;E;15/01/2020;0727;;
PF1951;E;15/01/2020;0727;;
PF2883;E;15/01/2020;0728;;
PF1755;E;15/01/2020;0728;;
PF0471;A;16/01/2020;1235;;
PF1873;A;16/01/2020;1246;;
PF4882;A;16/01/2020;1246;;
PF1846;A;16/01/2020;1247;;
PF1950;A;16/01/2020;1248;;
PF1947;A;16/01/2020;1249;;
PF1945;A;16/01/2020;1252;;
PF1558;A;16/01/2020;1252;;
PF1951;A;16/01/2020;1254;;
PF1946;A;16/01/2020;1254;;
PF7818;A;16/01/2020;1256;;
PF1952;A;16/01/2020;1256;;
PF0474;A;16/01/2020;1256;;
PF0469;A;16/01/2020;1257;;
PF0490;A;16/01/2020;1258;;
PF3944;A;16/01/2020;1258;;
PF1021;A;16/01/2020;1258;;
PF4878;A;16/01/2020;1259;;
PF1944;A;16/01/2020;1259;;
PF1881;A;16/01/2020;1259;;
PF0477;A;16/01/2020;1259;;
PF1856;A;16/01/2020;1300;;
PF0473;A;16/01/2020;1307;;
PF5364;A;16/01/2020;1307;;
PF2884;A;16/01/2020;1308;;
PF0475;A;16/01/2020;1308;;
PF0492;A;16/01/2020;1308;;
PF0467;A;16/01/2020;1309;;
PF1844;A;16/01/2020;1309;;
PF0500;A;16/01/2020;1310;;
PF0493;A;16/01/2020;1310;;
PF7819;A;16/01/2020;1310;;
PF0488;A;16/01/2020;1311;;
PF0491;A;16/01/2020;1311;;
PF5363;A;16/01/2020;1311;;
PF0471;A;16/01/2020;1314;;
PF1757;A;16/01/2020;1317;;
PF1846;A;16/01/2020;1320;;
PF0466;A;16/01/2020;1321;;
PF0494;A;16/01/2020;1321;;
PF0492;A;16/01/2020;1400;;
PF1950;A;16/01/2020;1430;;
PF1955;S;16/01/2020;1600;;
PF0522;S;16/01/2020;1600;;
PF1954;S;16/01/2020;1600;;
PF1844;S;16/01/2020;1600;;
PF1948;S;16/01/2020;1600;;
PF1881;S;16/01/2020;1601;;
PF5364;S;16/01/2020;1601;;
PF1945;S;16/01/2020;1601;;
PF7819;S;16/01/2020;1601;;
PF1755;S;16/01/2020;1601;;
PF0473;S;16/01/2020;1601;;
PF0493;S;16/01/2020;1601;;
PF0490;S;16/01/2020;1601;;
PF0471;S;16/01/2020;1601;;
PF0491;S;16/01/2020;1601;;
PF2884;S;16/01/2020;1602;;
PF0500;S;16/01/2020;1602;;
PF0494;S;16/01/2020;1602;;
PF0488;E;17/01/2020;0732;;
PF1954;E;17/01/2020;0732;;
PF5364;E;17/01/2020;0732;;
PF7818;E;17/01/2020;0733;;
PF0491;E;17/01/2020;0733;;
PF1955;E;17/01/2020;0734;;
PF1846;E;17/01/2020;0809;;
PF1558;P;17/01/2020;0945;;
PF0473;P;17/01/2020;1020;;
PF1946;P;17/01/2020;1130;;
PF1955;P;17/01/2020;1150;;
PF1954;P;17/01/2020;1150;;
PF0522;P;17/01/2020;1150;;
PF2883;P;17/01/2020;1158;;
PF1021;A;17/01/2020;1218;;
PF3944;A;17/01/2020;1218;;
PF4882;A;17/01/2020;1218;;
PF0474;A;17/01/2020;1218;;
PF7818;A;17/01/2020;1218;;
PF1873;A;17/01/2020;1218;;
PF4878;A;17/01/2020;1219;;
PF1951;A;17/01/2020;1219;;
PF0490;A;17/01/2020;1220;;
PF1944;A;17/01/2020;1220;;
PF1948;A;17/01/2020;1220;;
PF0477;A;17/01/2020;1220;;
PF0469;A;17/01/2020;1220;;
PF1945;A;17/01/2020;1220;;
PF1950;A;17/01/2020;1220;;
PF1881;A;17/01/2020;1220;;
PF1946;A;17/01/2020;1220;;
PF1856;A;17/01/2020;1221;;
PF1947;A;17/01/2020;1223;;
PF1558;A;17/01/2020;1224;;
PF1952;A;17/01/2020;1224;;
PF0522;A;17/01/2020;1226;;
PF1954;A;17/01/2020;1226;;
PF1955;A;17/01/2020;1226;;
PF0523;A;17/01/2020;1227;;
PF2883;A;17/01/2020;1227;;
PF5364;A;17/01/2020;1230;;
PF0491;A;17/01/2020;1230;;
PF0500;A;17/01/2020;1230;;
PF7819;A;17/01/2020;1232;;
PF0492;A;17/01/2020;1232;;
PF0475;A;17/01/2020;1232;;
PF1755;A;17/01/2020;1232;;
PF0488;A;17/01/2020;1233;;
PF0471;A;17/01/2020;1235;;
PF0467;A;17/01/2020;1236;;
PF1757;A;17/01/2020;1236;;
PF5363;A;17/01/2020;1236;;
PF2884;A;17/01/2020;1238;;
PF0493;A;17/01/2020;1238;;
PF1873;A;17/01/2020;1244;;
PF4882;A;17/01/2020;1245;;
PF1947;A;17/01/2020;1250;;
PF1881;A;17/01/2020;1251;;
PF4878;A;17/01/2020;1252;;
PF1948;A;17/01/2020;1254;;
PF1955;A;14/01/2020;1229;;
PF5364;A;14/01/2020;1231;;
PF0500;A;14/01/2020;1231;;
PF1844;A;14/01/2020;1231;;
PF0473;A;14/01/2020;1232;;
PF0491;A;14/01/2020;1232;;
PF0493;A;14/01/2020;1232;;
PF0492;A;14/01/2020;1232;;
PF2883;A;14/01/2020;1232;;
PF1755;A;14/01/2020;1232;;
PF2884;A;14/01/2020;1232;;
PF0471;A;14/01/2020;1232;;
PF0475;A;14/01/2020;1233;;
PF0488;A;14/01/2020;1233;;
PF0466;A;14/01/2020;1233;;
PF5363;A;14/01/2020;1233;;
PF0467;A;14/01/2020;1233;;
PF1757;A;14/01/2020;1233;;
PF0494;A;14/01/2020;1233;;
PF0523;A;14/01/2020;1235;;
PF1950;A;14/01/2020;1241;;
PF1846;A;14/01/2020;1245;;
PF1947;A;14/01/2020;1247;;
PF1945;A;14/01/2020;1251;;
PF1946;A;14/01/2020;1251;;
PF0474;A;14/01/2020;1251;;
PF1021;A;14/01/2020;1252;;
PF4878;A;14/01/2020;1252;;
PF1944;A;14/01/2020;1252;;
PF1558;A;14/01/2020;1253;;
PF0469;A;14/01/2020;1254;;
PF0490;A;14/01/2020;1255;;
PF0477;A;14/01/2020;1255;;
PF3944;A;14/01/2020;1255;;
PF1948;A;14/01/2020;1255;;
PF1856;A;14/01/2020;1257;;
PF1951;A;14/01/2020;1257;;
PF1952;A;14/01/2020;1257;;
PF0500;A;14/01/2020;1258;;
PF5364;A;14/01/2020;1301;;
PF1844;A;14/01/2020;1301;;
PF0467;A;14/01/2020;1302;;
PF0473;A;14/01/2020;1302;;
PF5363;A;14/01/2020;1306;;
PF0493;A;14/01/2020;1306;;
PF0488;A;14/01/2020;1306;;
PF0491;A;14/01/2020;1307;;
PF0471;A;14/01/2020;1309;;
PF2883;A;14/01/2020;1309;;
PF2884;A;14/01/2020;1309;;
PF1755;A;14/01/2020;1310;;
PF1757;A;14/01/2020;1311;;
PF0492;A;14/01/2020;1311;;
PF0466;A;14/01/2020;1313;;
PF0494;A;14/01/2020;1313;;
PF0475;A;14/01/2020;1313;;
PF0523;A;14/01/2020;1313;;
PF1846;A;14/01/2020;1314;;
PF0494;S;14/01/2020;1504;;
PF1955;S;14/01/2020;1600;;
PF0475;E;15/01/2020;0729;;
PF0488;E;15/01/2020;0729;;
PF5363;E;15/01/2020;0729;;
PF2884;E;15/01/2020;0729;;
PF0523;E;15/01/2020;0729;;
PF0466;E;15/01/2020;0729;;
PF1021;E;15/01/2020;0729;;
PF1856;E;15/01/2020;0729;;
PF0493;E;15/01/2020;0730;;
PF0471;E;15/01/2020;0730;;
PF1952;E;15/01/2020;0730;;
PF1757;E;15/01/2020;0730;;
PF1846;E;15/01/2020;0730;;
PF0469;E;15/01/2020;0731;;
PF0477;E;15/01/2020;0731;;
PF0473;E;15/01/2020;0731;;
PF1946;E;15/01/2020;0731;;
PF1955;E;15/01/2020;0734;;
PF1954;E;15/01/2020;0735;;
PF3944;E;15/01/2020;0735;;
PF1955;P;15/01/2020;1150;;
PF0522;P;15/01/2020;1150;;
PF1954;P;15/01/2020;1150;;
PF1948;P;15/01/2020;1153;;
PF1021;A;15/01/2020;1216;;
PF1946;A;15/01/2020;1218;;
PF1945;A;15/01/2020;1218;;
PF1856;A;15/01/2020;1219;;
PF1950;A;15/01/2020;1219;;
PF0490;A;15/01/2020;1219;;
PF1951;A;15/01/2020;1219;;
PF1558;A;15/01/2020;1220;;
PF4878;A;15/01/2020;1220;;
PF3944;A;15/01/2020;1220;;
PF0469;A;15/01/2020;1220;;
PF1947;A;15/01/2020;1220;;
PF1944;A;15/01/2020;1220;;
PF0474;A;15/01/2020;1220;;
PF0477;A;15/01/2020;1221;;
PF1954;A;15/01/2020;1225;;
PF1948;A;15/01/2020;1226;;
PF0522;A;15/01/2020;1226;;
PF1955;A;15/01/2020;1227;;
PF0473;A;15/01/2020;1229;;
PF0493;A;15/01/2020;1229;;
PF0471;A;15/01/2020;1230;;
PF0492;A;15/01/2020;1231;;
PF1755;A;15/01/2020;1231;;
PF2884;A;15/01/2020;1232;;
PF2883;A;15/01/2020;1232;;
PF5364;A;15/01/2020;1233;;
PF0500;A;15/01/2020;1233;;
PF1844;A;15/01/2020;1233;;
PF0475;A;15/01/2020;1233;;
PF5363;A;15/01/2020;1233;;
PF1757;A;15/01/2020;1233;;
PF0488;A;15/01/2020;1234;;
PF0491;A;15/01/2020;1234;;
PF0467;A;15/01/2020;1234;;
PF0466;A;15/01/2020;1235;;
PF0488;S;16/01/2020;1603;;
PF1846;S;16/01/2020;1603;;
PF1757;S;16/01/2020;1603;;
PF0467;S;16/01/2020;1604;;
PF0475;S;16/01/2020;1604;;
PF5363;S;16/01/2020;1604;;
PF1558;S;16/01/2020;1604;;
PF0466;S;16/01/2020;1604;;
PF1856;S;16/01/2020;1604;;
PF1947;S;16/01/2020;1606;;
PF2883;S;16/01/2020;1607;;
PF0523;S;16/01/2020;1615;;
PF7818;S;16/01/2020;1729;;
PF0469;S;16/01/2020;1800;;
PF1944;S;16/01/2020;1800;;
PF3944;S;16/01/2020;1800;;
PF0477;S;16/01/2020;1801;;
PF1021;S;16/01/2020;1801;;
PF1952;S;16/01/2020;1803;;
PF0474;S;16/01/2020;1803;;
PF1951;S;16/01/2020;1803;;
PF1873;S;16/01/2020;1825;;
PF1946;S;16/01/2020;1905;;
PF4882;S;16/01/2020;1905;;
PF0473;E;17/01/2020;0609;;
PF0471;E;17/01/2020;0609;;
PF1948;E;17/01/2020;0648;;
PF1873;E;17/01/2020;0658;;
PF1945;E;17/01/2020;0713;;
PF0522;E;17/01/2020;0716;;
PF4882;E;17/01/2020;0717;;
PF0494;E;17/01/2020;0718;;
PF1947;E;17/01/2020;0719;;
PF4878;E;17/01/2020;0722;;
PF7819;E;17/01/2020;0723;;
PF0474;E;17/01/2020;0724;;
PF2883;E;17/01/2020;0726;;
PF0492;E;17/01/2020;0726;;
PF1950;E;17/01/2020;0726;;
PF0469;E;17/01/2020;0727;;
PF5363;E;17/01/2020;0727;;
PF1951;E;17/01/2020;0728;;
PF0493;E;17/01/2020;0728;;
PF1881;E;17/01/2020;0728;;
PF0475;E;17/01/2020;0728;;
PF0523;E;17/01/2020;0728;;
PF1952;E;17/01/2020;0729;;
PF1944;E;17/01/2020;0729;;
PF1021;E;17/01/2020;0729;;
PF0466;E;17/01/2020;0730;;
PF0490;E;17/01/2020;0730;;
PF2884;E;17/01/2020;0730;;
PF1755;E;17/01/2020;0730;;
PF0467;E;17/01/2020;0730;;
PF1856;E;17/01/2020;0731;;
PF1757;E;17/01/2020;0731;;
PF0500;E;17/01/2020;0731;;
PF0475;E;17/01/2020;0731;;
PF3944;E;17/01/2020;0731;;
PF0477;E;17/01/2020;0731;;
PF7818;A;17/01/2020;1254;;
PF0490;A;17/01/2020;1255;;
PF1950;A;17/01/2020;1255;;
PF1946;A;17/01/2020;1255;;
PF1558;A;17/01/2020;1255;;
PF0474;A;17/01/2020;1255;;
PF3944;A;17/01/2020;1256;;
PF1951;A;17/01/2020;1256;;
PF1945;A;17/01/2020;1257;;
PF1856;A;17/01/2020;1258;;
PF1944;A;17/01/2020;1259;;
PF0475;A;17/01/2020;1300;;
PF0492;A;17/01/2020;1300;;
PF1952;A;17/01/2020;1300;;
PF0469;A;17/01/2020;1301;;
PF0477;A;17/01/2020;1302;;
PF0466;A;17/01/2020;1302;;
PF0494;A;17/01/2020;1302;;
PF7819;A;17/01/2020;1302;;
PF1846;A;17/01/2020;1303;;
PF0488;A;17/01/2020;1304;;
PF0491;A;17/01/2020;1305;;
PF0500;A;17/01/2020;1305;;
PF5364;A;17/01/2020;1306;;
PF5363;A;17/01/2020;1309;;
PF0467;A;17/01/2020;1309;;
PF0475;A;17/01/2020;1309;;
PF0471;A;17/01/2020;1309;;
PF0493;A;17/01/2020;1311;;
PF1755;A;17/01/2020;1311;;
PF2884;A;17/01/2020;1316;;
PF1757;A;17/01/2020;1316;;
PF0523;A;17/01/2020;1326;;
PF1846;A;17/01/2020;1332;;
PF0466;A;17/01/2020;1348;;
PF0494;A;17/01/2020;1348;;
PF1558;A;17/01/2020;1458;;
PF0474;S;17/01/2020;1501;;
PF3944;S;17/01/2020;1600;;
PF1945;S;17/01/2020;1600;;
PF0493;S;17/01/2020;1600;;
PF7819;S;17/01/2020;1600;;
PF0490;S;17/01/2020;1600;;
PF1873;S;17/01/2020;1600;;
PF1881;S;17/01/2020;1600;;
PF1755;S;17/01/2020;1600;;
PF0475;S;17/01/2020;1600;;
PF0473;S;17/01/2020;1600;;
PF0523;S;17/01/2020;1601;;
PF1952;S;17/01/2020;1601;;
PF1021;S;17/01/2020;1601;;
PF0494;S;17/01/2020;1601;;
PF0492;S;17/01/2020;1601;;
PF1950;S;17/01/2020;1601;;
PF0477;S;17/01/2020;1601;;
PF0491;S;17/01/2020;1601;;
PF1944;S;17/01/2020;1601;;
PF0466;S;17/01/2020;1601;;
PF2884;S;17/01/2020;1601;;
PF2883;S;17/01/2020;1601;;
PF0466;E;20/01/2020;0730;;
PF5364;E;20/01/2020;0730;;
PF0491;E;20/01/2020;0731;;
PF0493;E;20/01/2020;0731;;
PF1946;E;20/01/2020;0732;;
PF1951;E;20/01/2020;0733;;
PF0469;E;20/01/2020;0733;;
PF1856;E;20/01/2020;0733;;
PF0473;E;20/01/2020;0733;;
PF0488;E;20/01/2020;0733;;
PF1954;E;20/01/2020;0733;;
PF3944;E;20/01/2020;0733;;
